budget,original_language,popularity,runtime,vote_average,vote_count,release_year,release_month,release_day,release_season,director,hit,primary_genre
150000000,en,21.939663,150.0,6.0,3138,2009,6,19,Summer,Michael Bay,1,Science Fiction
210000000,en,116.840296,165.0,5.8,3095,2014,6,25,Summer,Michael Bay,1,Science Fiction
200000000,en,46.985445,130.0,5.7,3530,2013,3,7,Spring,Sam Raimi,1,Fantasy
200000000,en,89.270217,142.0,6.5,4179,2014,4,16,Spring,Marc Webb,1,Action
170000000,en,73.79505,125.0,6.3,2841,2010,12,10,Winter,Joseph Kosinski,1,Adventure
200000000,en,49.98659,106.0,5.8,2033,2011,6,11,Summer,John Lasseter,1,Animation
200000000,en,51.872839,114.0,5.1,2487,2011,6,16,Summer,Martin Campbell,0,Adventure
200000000,en,59.995418,103.0,7.6,4597,2010,6,16,Summer,Lee Unkrich,1,Animation
200000000,en,71.862892,115.0,5.9,2463,2009,5,20,Spring,McG,0,Action
190000000,en,102.322217,137.0,7.3,4176,2015,4,1,Spring,James Wan,1,Action
200000000,en,81.834855,116.0,6.7,5560,2013,6,20,Summer,Marc Forster,1,Action
250000000,en,118.078691,131.0,7.5,6032,2014,5,15,Spring,Bryan Singer,1,Action
190000000,en,78.291018,132.0,7.4,4418,2013,5,5,Spring,J.J. Abrams,1,Action
195000000,en,43.349855,114.0,5.5,2598,2013,2,27,Winter,Bryan Singer,0,Action
105000000,en,61.196071,143.0,7.3,3769,2013,5,10,Spring,Baz Luhrmann,1,Drama
150000000,en,62.169881,116.0,6.2,2317,2010,5,19,Spring,Mike Newell,1,Adventure
180000000,en,56.523205,131.0,6.7,4794,2013,7,11,Summer,Guillermo del Toro,1,Action
195000000,en,28.529607,154.0,6.1,3299,2011,6,28,Summer,Michael Bay,1,Action
185000000,en,75.674458,122.0,5.7,2495,2008,5,21,Spring,Steven Spielberg,1,Adventure
175000000,en,51.692953,93.0,6.6,1736,2015,11,14,Fall,Peter Sohn,0,Adventure
185000000,en,125.114374,93.0,6.7,4641,2012,6,21,Summer,Brenda Chapman,1,Animation
185000000,en,65.352913,122.0,6.6,2568,2016,7,7,Summer,Justin Lin,0,Action
180000000,en,66.390712,98.0,7.8,6296,2008,6,22,Summer,Andrew Stanton,1,Animation
140000000,en,22.57178,91.0,6.1,783,2007,8,8,Summer,Brett Ratner,0,Action
200000000,en,45.274225,158.0,5.6,4903,2009,10,10,Fall,Roland Emmerich,1,Action
200000000,en,39.744242,96.0,6.6,1095,2009,11,4,Fall,Robert Zemeckis,0,Animation
176000003,en,85.36908,124.0,5.2,2768,2015,2,4,Winter,Lilly Wachowski,0,Science Fiction
180000000,en,42.741719,109.0,5.5,2430,2016,6,29,Summer,David Yates,0,Action
180000000,en,67.391328,143.0,6.7,2629,2005,12,7,Winter,Andrew Adamson,1,Adventure
178000000,en,139.272042,144.0,6.4,4721,2016,5,18,Spring,Bryan Singer,1,Science Fiction
185000000,en,187.322927,152.0,8.2,12002,2008,7,16,Summer,Christopher Nolan,1,Drama
175000000,en,92.201962,96.0,7.7,6870,2009,5,13,Spring,Pete Docter,1,Animation
175000000,en,36.167578,94.0,6.0,1423,2009,3,19,Spring,Conrad Vernon,1,Animation
140000000,en,120.725053,126.0,7.4,8776,2008,4,30,Spring,Jon Favreau,1,Action
170000000,en,32.319043,126.0,7.0,2141,2011,11,22,Fall,Martin Scorsese,0,Adventure
170000000,en,40.748915,106.0,5.1,1020,1999,6,29,Summer,Barry Sonnenfeld,0,Action
145000000,en,60.034162,112.0,5.2,1387,2008,7,1,Summer,Rob Cohen,1,Adventure
175000000,en,90.23792,123.0,5.9,7458,2016,8,2,Summer,David Ayer,1,Action
175000000,en,27.082182,96.0,5.3,1151,2007,6,9,Summer,Tom Shadyac,0,Fantasy
178000000,en,79.456485,113.0,7.6,4858,2014,5,27,Spring,Doug Liman,1,Action
175000000,en,44.640292,135.0,5.9,992,1995,7,28,Summer,Kevin Reynolds,0,Adventure
175000000,en,32.852443,118.0,5.6,1962,2009,8,4,Summer,Stephen Sommers,0,Adventure
175000000,en,128.655964,94.0,8.0,6560,2015,6,9,Summer,Pete Docter,1,Drama
175000000,en,94.199316,106.0,6.7,2892,2016,4,7,Spring,Jon Favreau,1,Family
200000000,en,77.300194,124.0,6.6,6849,2010,4,28,Spring,Jon Favreau,1,Adventure
170000000,en,77.178973,127.0,5.8,3118,2012,5,30,Spring,Rupert Sanders,1,Adventure
180000000,en,110.620647,97.0,7.0,4496,2014,5,28,Spring,Robert Stromberg,1,Fantasy
170000000,en,243.791743,130.0,7.3,4410,2014,6,26,Summer,Matt Reeves,1,Science Fiction
175000000,en,41.796339,119.0,5.9,1326,2013,12,6,Winter,Carl Rinsch,0,Drama
170000000,en,72.225265,136.0,7.6,5764,2014,3,20,Spring,Anthony Russo,1,Action
165000000,en,44.041186,93.0,6.0,1959,2010,5,16,Spring,Mike Mitchell,1,Comedy
190000000,en,130.311355,130.0,6.2,2846,2015,5,19,Spring,Brad Bird,0,Adventure
165000000,en,203.73459,102.0,7.8,6135,2014,10,24,Fall,Chris Williams,1,Adventure
165000000,en,62.341073,108.0,7.1,4570,2012,11,1,Fall,Rich Moore,1,Family
165000000,en,47.323228,100.0,6.4,1474,2004,11,10,Fall,Robert Zemeckis,0,Adventure
165000000,en,48.775723,120.0,4.9,2491,2016,6,22,Summer,Roland Emmerich,1,Action
165000000,en,67.263269,98.0,7.5,4227,2010,3,5,Spring,Chris Sanders,1,Fantasy
200000000,en,69.405188,109.0,5.9,2143,2003,7,2,Summer,Jonathan Mostow,1,Action
170000000,en,481.098624,121.0,7.9,9742,2014,7,30,Summer,James Gunn,1,Action
165000000,en,724.247784,169.0,8.1,10867,2014,11,5,Fall,Christopher Nolan,1,Adventure
160000000,en,167.58371,148.0,8.1,13752,2010,7,14,Summer,Christopher Nolan,1,Action
15000000,ja,9.476999,120.0,6.5,143,2016,7,29,Summer,Hideaki Anno,1,Action
250000000,en,108.849621,169.0,7.0,8297,2012,11,26,Fall,Peter Jackson,1,Adventure
38000000,en,6.909942,106.0,6.6,3428,2001,6,22,Summer,Rob Cohen,1,Action
150000000,en,60.269279,166.0,7.3,3292,2008,11,24,Fall,David Fincher,1,Fantasy
160000000,en,3.195174,132.0,7.1,5181,2011,5,24,Spring,Matthew Vaughn,1,Action
160000000,en,127.284427,137.0,6.6,3984,2015,11,18,Fall,Francis Lawrence,1,Action
150000000,en,35.580815,109.0,5.8,1470,2010,7,13,Summer,Jon Turteltaub,0,Fantasy
160000000,en,21.133748,99.0,5.5,583,2006,5,12,Spring,Wolfgang Petersen,0,Adventure
170000000,en,56.268916,113.0,6.5,1725,2016,5,25,Spring,James Bobin,0,Fantasy
160000000,en,42.986467,93.0,6.0,2278,2007,5,17,Spring,Chris Miller,1,Fantasy
160000000,en,63.148529,123.0,6.3,2268,2016,5,25,Spring,Duncan Jones,1,Action
155000000,en,202.042635,126.0,5.8,3631,2015,6,23,Summer,Alan Taylor,1,Science Fiction
155000000,en,49.661984,113.0,6.2,1514,2010,8,13,Summer,Michael Apted,1,Adventure
140000000,en,34.20669,183.0,6.6,1791,2001,5,21,Spring,Michael Bay,1,History
150000000,en,25.468493,144.0,6.6,4040,2007,6,27,Summer,Michael Bay,1,Adventure
155000000,en,39.019229,175.0,5.6,927,2004,11,21,Fall,Oliver Stone,0,War
150000000,en,78.144395,138.0,7.4,5494,2007,6,28,Summer,David Yates,1,Adventure
150000000,en,101.250416,157.0,7.5,5608,2005,11,5,Fall,Mike Newell,1,Adventure
150000000,en,56.758411,92.0,6.2,2961,2008,7,1,Summer,Peter Berg,1,Fantasy
150000000,en,70.867401,101.0,6.9,4853,2007,12,14,Winter,Francis Lawrence,1,Drama
150000000,en,53.905592,115.0,6.7,3624,2005,7,13,Summer,Tim Burton,1,Adventure
150000000,en,65.677399,111.0,7.5,4369,2007,6,22,Summer,Jan Pinkava,1,Animation
150000000,en,115.040024,140.0,7.5,7359,2005,6,10,Summer,Christopher Nolan,1,Action
150000000,en,44.141021,89.0,6.2,1810,2008,10,30,Fall,Eric Darnell,1,Family
150000000,en,81.781591,105.0,5.9,1971,2009,5,20,Spring,Shawn Levy,1,Adventure
150000000,en,5.954334,107.0,6.2,4021,2009,4,28,Spring,Gavin Hood,1,Adventure
150000000,en,73.313918,129.0,6.4,3096,2003,11,5,Fall,Lilly Wachowski,1,Adventure
150000000,en,165.125366,102.0,7.3,5295,2013,11,27,Fall,Chris Buck,1,Animation
150000000,en,70.78591,138.0,6.7,3443,2003,5,15,Spring,Lilly Wachowski,1,Adventure
170000000,en,99.499595,112.0,6.8,4755,2013,10,29,Fall,Alan Taylor,1,Action
150000000,en,434.278564,120.0,7.2,9427,2015,5,13,Spring,George Miller,1,Action
150000000,en,67.447636,138.0,6.5,2129,2009,5,13,Spring,Ron Howard,1,Thriller
150000000,en,86.493424,115.0,6.6,6525,2011,4,21,Spring,Kenneth Branagh,1,Adventure
150000000,en,41.845878,98.0,6.3,1750,2008,11,21,Fall,Chris Williams,1,Animation
150000000,en,26.710398,88.0,5.1,510,2009,7,21,Summer,Hoyt Yeatman,0,Fantasy
150000000,en,44.927635,99.0,5.5,1431,2012,3,27,Spring,Jonathan Liebesman,1,Adventure
150000000,en,50.306728,113.0,5.7,2320,2012,5,8,Spring,Tim Burton,0,Comedy
150000000,en,114.522237,131.0,7.1,3224,2015,7,23,Summer,Christopher McQuarrie,1,Action
150000000,en,29.332905,91.0,5.7,1171,2007,10,28,Fall,Steve Hickner,0,Family
150000000,en,51.247321,91.0,6.7,1880,2011,5,25,Spring,Jennifer Yuh Nelson,1,Animation
150000000,en,33.769336,103.0,4.7,1151,2010,6,30,Summer,M. Night Shyamalan,1,Action
150000000,en,63.079003,126.0,6.5,2028,2006,5,3,Spring,J.J. Abrams,1,Adventure
150000000,en,39.004588,131.0,6.4,1891,2013,6,27,Summer,Roland Emmerich,0,Action
150000000,en,12.362599,88.0,5.5,199,2011,3,9,Spring,Simon Wells,0,Adventure
149000000,en,22.550135,85.0,6.0,874,2006,10,22,Fall,David Bowers,0,Adventure
150000000,en,48.03528,111.0,5.9,954,2015,9,24,Fall,Joe Wright,0,Adventure
145000000,en,38.73494,92.0,6.7,843,2014,2,7,Winter,Rob Minkoff,0,Animation
175000000,en,66.803149,163.0,6.9,2759,2004,5,13,Spring,Wolfgang Petersen,1,Adventure
145000000,en,44.989192,93.0,6.4,1808,2012,6,6,Summer,Conrad Vernon,1,Animation
140000000,en,54.159392,133.0,5.8,1092,2002,11,17,Fall,Lee Tamahori,1,Adventure
144000000,en,66.21806,116.0,5.3,2142,2016,7,14,Summer,Paul Feig,0,Action
140000000,en,58.485967,151.0,6.4,2482,1998,7,1,Summer,Michael Bay,1,Action
140000000,en,91.332849,88.0,6.0,3114,2002,7,3,Summer,Barry Sonnenfeld,1,Action
70000000,en,35.601665,115.0,5.5,841,2007,11,5,Fall,Robert Zemeckis,1,Adventure
145000000,en,56.747978,95.0,6.7,1603,2016,1,23,Winter,Jennifer Yuh Nelson,1,Action
145000000,en,77.77477,133.0,6.8,3972,2011,12,7,Winter,Brad Bird,1,Action
145000000,en,61.788035,97.0,7.1,1922,2012,11,21,Fall,Peter Ramsey,1,Fantasy
100000000,en,25.159168,90.0,5.9,627,2005,12,21,Winter,Dean Parisot,1,Comedy
140000000,en,52.341226,154.0,7.3,1895,2003,12,5,Winter,Edward Zwick,1,Drama
140000000,en,101.599427,150.0,5.6,1921,2014,12,3,Winter,Ridley Scott,0,Adventure
150000000,en,73.616808,127.0,7.4,4518,2009,5,6,Spring,J.J. Abrams,1,Science Fiction
139000000,en,82.502566,121.0,6.8,5265,2002,5,1,Spring,Sam Raimi,1,Fantasy
145000000,en,100.21391,102.0,7.6,3106,2014,6,12,Summer,Dean DeBlois,1,Fantasy
140000000,en,56.257249,127.0,5.3,1277,2016,2,25,Winter,Alex Proyas,0,Fantasy
135000000,en,17.88953,121.0,4.9,331,2005,7,28,Summer,Rob Cohen,0,Action
130000000,en,64.798873,163.0,7.0,2811,2009,3,5,Spring,Zack Snyder,0,Action
140000000,en,24.855701,127.0,6.3,767,1998,7,10,Summer,Richard Donner,1,Action
137000000,en,34.981698,138.0,5.3,1533,2003,6,19,Summer,Ang Lee,0,Drama
130000000,en,59.325589,110.0,5.4,3025,2013,3,26,Spring,Jon M. Chu,1,Adventure
130000000,en,21.605568,124.0,5.7,434,2005,4,6,Spring,Breck Eisner,0,Action
137000000,en,26.074908,106.0,5.9,433,2001,7,2,Summer,Hironobu Sakaguchi,0,Adventure
140000000,en,74.506246,124.0,6.6,7047,2011,7,22,Summer,Joe Johnston,1,Action
135000000,en,39.604363,128.0,6.0,862,1999,11,8,Fall,Michael Apted,1,Adventure
150000000,en,36.973031,138.0,6.9,790,2003,11,14,Fall,Peter Weir,0,Adventure
120000000,en,99.687084,115.0,6.1,2553,2012,11,13,Fall,Bill Condon,1,Adventure
130000000,en,17.7735,100.0,5.8,373,2011,11,17,Fall,George Miller,0,Animation
150000000,en,62.898336,114.0,6.1,3021,2008,6,12,Summer,Louis Leterrier,0,Science Fiction
140000000,en,44.19092,120.0,6.0,1000,2016,6,1,Summer,Steven Spielberg,0,Adventure
135000000,en,100.635882,156.0,7.3,6396,2015,12,25,Winter,Alejandro González Iñárritu,1,Western
135000000,en,44.765377,96.0,6.1,1074,2013,7,11,Summer,David Soren,1,Animation
135000000,en,29.91353,107.0,6.6,2051,2011,3,2,Spring,Gore Verbinski,0,Animation
132000000,en,84.366984,92.0,6.5,1346,2014,11,22,Fall,Eric Darnell,1,Family
70000000,en,45.381501,115.0,7.3,2888,2007,8,3,Summer,Paul Greengrass,1,Action
130000000,en,84.689648,90.0,6.9,3145,2008,6,4,Summer,Mark Osborne,1,Adventure
130000000,en,120.09361,117.0,7.0,5880,2015,7,14,Summer,Peyton Reed,1,Science Fiction
130000000,en,76.310119,146.0,7.4,6495,2013,11,15,Fall,Francis Lawrence,1,Adventure
135000000,en,63.473086,94.0,6.8,1519,2015,3,18,Spring,Tim Johnson,1,Fantasy
132000000,en,48.572726,116.0,6.2,2322,2005,6,28,Summer,Steven Spielberg,1,Adventure
130000000,en,38.068736,147.0,6.3,1564,2003,7,18,Summer,Michael Bay,1,Adventure
130000000,en,20.678787,90.0,6.4,451,2011,10,28,Fall,Chris Miller,1,Action
110000000,en,48.829437,100.0,6.2,2093,2010,7,21,Summer,Phillip Noyce,1,Action
125000000,en,46.115758,139.0,5.6,2350,2014,3,20,Spring,Darren Aronofsky,1,Drama
130000000,en,89.938296,107.0,6.7,2061,2011,10,25,Fall,Steven Spielberg,1,Adventure
130000000,en,79.679601,141.0,7.7,5877,2004,5,31,Spring,Alfonso Cuarón,1,Adventure
130000000,en,28.840997,165.0,6.3,694,2008,11,18,Fall,Baz Luhrmann,0,Drama
130000000,en,42.840582,100.0,5.0,2532,2013,5,30,Spring,M. Night Shyamalan,0,Science Fiction
127500000,en,26.548594,82.0,6.2,542,2000,5,19,Spring,Ralph Zondag,1,Animation
127000000,en,115.597753,97.0,6.1,1851,2014,12,17,Winter,Shawn Levy,1,Adventure
130000000,en,68.757242,95.0,6.7,1918,2010,10,28,Fall,Tom McGrath,1,Animation
125000000,en,109.984351,152.0,7.5,7006,2001,11,16,Fall,Chris Columbus,1,Adventure
130000000,en,39.448066,96.0,5.4,1260,2013,7,18,Summer,Robert Schwentke,0,Fantasy
140000000,en,271.972889,143.0,7.5,6985,2003,7,9,Summer,Gore Verbinski,1,Adventure
125000000,en,206.227151,123.0,6.6,5584,2014,11,18,Fall,Francis Lawrence,1,Science Fiction
125000000,en,45.313197,149.0,6.5,2704,2006,5,17,Spring,Ron Howard,1,Thriller
103000000,en,42.40024,102.0,6.3,978,2014,3,19,Spring,Carlos Saldanha,1,Animation
110000000,en,2.871739,133.0,6.8,3506,2003,4,24,Spring,Bryan Singer,1,Adventure
125000000,en,7.255718,130.0,7.1,2438,2011,4,20,Spring,Justin Lin,1,Action
125000000,en,81.499621,129.0,7.0,3886,2011,11,22,Fall,Guy Ritchie,1,Adventure
125000000,en,47.686442,106.0,5.6,2233,2010,4,1,Spring,Louis Leterrier,0,Adventure
65000000,en,43.129703,113.0,7.1,1710,1990,6,1,Summer,Paul Verhoeven,1,Action
160000000,en,27.220157,102.0,6.4,510,1999,8,27,Summer,John McTiernan,0,Adventure
130000000,en,90.33681,120.0,6.0,2651,2012,8,8,Summer,Tony Gilroy,1,Action
125000000,en,50.073575,125.0,4.2,1418,1997,6,20,Summer,Joel Schumacher,0,Action
123000000,en,45.419668,104.0,6.2,1386,2000,11,17,Fall,Ron Howard,1,Family
125000000,en,41.380094,124.0,6.2,2392,2004,5,26,Spring,Roland Emmerich,1,Action
125000000,en,54.931334,123.0,5.9,1928,2000,5,24,Spring,John Woo,1,Adventure
120000000,en,25.752118,130.0,6.2,597,2000,3,15,Spring,Wolfgang Petersen,1,Drama
130000000,en,60.810723,92.0,5.4,2589,2007,6,13,Summer,Tim Story,1,Adventure
120000000,en,51.328145,127.0,7.2,5797,2012,11,20,Fall,Ang Lee,1,Adventure
110000000,en,46.834704,114.0,5.2,1712,2007,2,16,Winter,Mark Steven Johnson,1,Thriller
120000000,en,62.641286,123.0,5.9,2341,2016,7,27,Summer,Paul Greengrass,1,Action
120000000,en,33.616115,106.0,5.2,914,2003,6,27,Summer,McG,1,Action
130000000,en,68.889395,124.0,6.3,5080,2012,5,30,Spring,Ridley Scott,1,Science Fiction
120000000,en,27.990284,78.0,5.4,613,2002,7,19,Summer,Rob Minkoff,0,Family
115000000,en,67.33767,109.0,6.4,3439,2013,8,7,Summer,Neill Blomkamp,1,Science Fiction
105000000,en,27.835436,119.0,6.3,1570,2004,6,11,Summer,David Twohy,0,Action
120000000,en,66.757869,102.0,5.7,2342,2014,1,30,Winter,José Padilha,1,Action
120000000,en,17.060695,135.0,5.7,354,2008,5,9,Spring,Lilly Wachowski,0,Action
120000000,en,11.137655,121.0,4.9,223,2010,12,17,Winter,James L. Brooks,0,Comedy
117000000,en,44.906918,109.0,5.9,1547,2010,6,15,Summer,James Mangold,1,Action
120000000,en,67.698004,124.0,6.4,4800,2013,4,10,Spring,Joseph Kosinski,1,Action
113000000,en,44.108427,140.0,7.1,4116,2005,5,17,Spring,George Lucas,1,Science Fiction
120000000,en,43.987061,142.0,6.4,3992,2002,5,15,Spring,George Lucas,1,Adventure
115000000,en,106.815545,92.0,7.5,5996,2001,11,1,Fall,Pete Docter,1,Animation
120000000,en,15.953444,126.0,6.3,4053,2013,7,23,Summer,James Mangold,1,Action
115000000,en,54.035265,136.0,6.3,4432,1999,5,19,Spring,George Lucas,1,Adventure
135000000,en,64.183321,98.0,6.8,2399,2013,3,20,Spring,Chris Sanders,1,Adventure
97250400,fr,20.344364,116.0,5.0,471,2008,1,13,Winter,Thomas Langmann,0,Fantasy
115000000,en,18.714197,134.0,5.8,341,2002,6,14,Summer,John Woo,0,Drama
115000000,en,60.467984,114.0,6.0,1523,2016,4,6,Spring,Cedric Nicolas-Troyan,0,Action
125000000,en,143.350376,101.0,5.8,2636,2014,8,7,Summer,Jonathan Liebesman,1,Science Fiction
105000000,en,110.153618,91.0,7.3,5751,2013,9,27,Fall,Alfonso Cuarón,1,Science Fiction
116000000,en,16.90444,108.0,5.7,428,1997,2,7,Winter,Roger Donaldson,0,Action
135000000,en,39.873791,112.0,5.8,963,2016,6,1,Summer,Dave Green,0,Fantasy
120000000,en,38.126095,100.0,4.4,2278,2015,8,5,Summer,Josh Trank,0,Action
110000000,en,48.780039,108.0,6.3,2862,2006,10,20,Fall,Shawn Levy,1,Action
110000000,en,100.412364,114.0,6.0,2968,2015,5,27,Spring,Brad Peyton,1,Action
110000000,en,42.887121,119.0,6.0,925,1997,12,11,Winter,Roger Spottiswoode,1,Adventure
110000000,en,23.657284,165.0,6.8,1099,2000,6,28,Summer,Roland Emmerich,0,Drama
110000000,en,76.840712,125.0,6.4,2124,2004,12,9,Winter,Steven Soderbergh,1,Thriller
110000000,en,44.635452,120.0,6.5,2965,2005,6,7,Summer,Doug Liman,1,Action
110000000,en,103.718387,119.0,6.2,3829,2015,3,18,Spring,Robert Schwentke,1,Adventure
116000000,en,45.616098,170.0,7.0,1489,2004,12,17,Winter,Martin Scorsese,0,Drama
112000000,en,22.845143,85.0,4.9,621,2010,12,25,Winter,Rob Letterman,1,Comedy
120000000,en,31.703608,119.0,5.5,1251,2011,1,12,Winter,Michel Gondry,0,Action
110000000,en,71.510596,102.0,6.1,2397,2014,3,5,Spring,Noam Murro,1,Action
110000000,en,36.65422,103.0,5.5,1179,2011,7,29,Summer,Raja Gosnell,1,Animation
110000000,en,19.625972,76.0,5.7,389,2004,4,2,Spring,Will Finn,0,Animation
110000000,en,86.105615,121.0,5.9,1998,2016,3,9,Spring,Robert Schwentke,0,Adventure
110000000,en,37.195046,127.0,6.6,2692,2011,9,28,Fall,Shawn Levy,1,Action
105000000,en,32.473628,105.0,5.5,695,2013,7,30,Summer,Raja Gosnell,1,Fantasy
160000000,en,23.336875,121.0,4.1,434,1997,6,13,Summer,Jan de Bont,0,Action
110000000,en,45.94834,114.0,6.6,2303,2013,10,23,Fall,Gavin Hood,0,Science Fiction
110000000,en,48.93337,128.0,6.4,2089,2007,6,20,Summer,Len Wiseman,1,Action
93000000,en,138.049577,178.0,8.0,8705,2001,12,18,Winter,Peter Jackson,1,Adventure
110000000,en,22.643776,120.0,5.7,672,2004,6,16,Summer,Frank Coraci,0,Action
107000000,en,18.866672,157.0,6.7,447,2001,12,11,Winter,Michael Mann,0,Drama
120000000,en,95.914473,115.0,6.7,3793,2004,7,15,Summer,Alex Proyas,1,Action
130000000,en,44.490453,144.0,6.6,1157,2005,5,3,Spring,Ridley Scott,0,Drama
133000000,en,30.475297,84.0,5.8,959,1999,12,17,Winter,Rob Minkoff,1,Animation
105000000,en,62.479574,97.0,6.7,1247,2009,12,8,Winter,Ron Clements,1,Romance
108000000,en,167.93287,141.0,7.6,7268,2015,9,30,Fall,Ridley Scott,1,Drama
126000000,en,37.68056,136.0,6.5,1770,2005,7,20,Summer,Michael Bay,0,Action
90000000,en,1.004579,104.0,3.7,16,2001,4,27,Spring,Peter Chelsom,0,Comedy
90000000,en,52.995628,118.0,6.1,1485,2000,6,9,Summer,Dominic Sena,1,Action
103000000,en,95.301296,155.0,7.9,5439,2000,5,1,Spring,Ridley Scott,1,Action
102000000,en,65.948959,145.0,7.1,2608,2002,6,20,Summer,Steven Spielberg,1,Action
100000000,en,132.397737,161.0,7.4,5815,2002,11,13,Fall,Chris Columbus,1,Adventure
150000000,en,88.935165,144.0,7.3,3855,2006,11,14,Fall,Martin Campbell,1,Adventure
100000000,en,51.188633,119.0,5.6,1243,2001,7,25,Summer,Tim Burton,1,Thriller
100000000,en,101.74155,137.0,7.7,4185,1991,7,1,Summer,James Cameron,1,Action
80000000,en,33.691694,140.0,6.5,1344,2009,7,1,Summer,Michael Mann,1,History
100000000,en,42.361215,157.0,7.4,1502,2007,11,2,Fall,Ridley Scott,1,Drama
115000000,en,38.729418,141.0,6.8,1116,1994,7,14,Summer,James Cameron,1,Action
100000000,en,40.597856,106.0,6.2,954,2009,6,11,Summer,Tony Scott,0,Thriller
100000000,en,32.389353,98.0,5.4,1060,2010,12,21,Winter,Paul Weitz,1,Comedy
100000000,en,24.399642,107.0,6.1,1383,2010,8,6,Summer,Adam McKay,0,Action
100000000,en,24.507987,115.0,5.6,543,1996,6,21,Summer,Chuck Russell,1,Action
100000000,en,82.121691,165.0,7.8,10099,2012,12,25,Winter,Quentin Tarantino,1,Drama
100000000,en,46.727941,91.0,6.8,1129,1996,6,21,Summer,Gary Trousdale,0,Drama
100000000,en,51.113717,78.0,7.2,1490,2000,12,9,Winter,Mark Dindal,0,Adventure
100000000,en,53.732892,103.0,6.1,2896,2012,8,8,Summer,Simon West,1,Action
100000000,en,58.849256,131.0,6.4,1926,2004,11,19,Fall,Jon Turteltaub,1,Adventure
100000000,en,30.863434,104.0,4.9,967,2006,12,14,Winter,Stefen Fangmeier,1,Fantasy
100000000,en,31.586215,101.0,6.4,572,2009,10,16,Fall,Spike Jonze,0,Family
100000000,en,36.711378,102.0,6.4,1121,2013,5,15,Spring,Chris Wedge,1,Animation
100000000,en,41.426678,103.0,6.0,1699,2010,12,8,Winter,Florian Henckel von Donnersmarck,1,Action
