customer_id,gender,age,city_tier,signup_date,acquisition_channel
184,Female,42.0,Tier 1,2023-08-12,Organic
185,Male,20.0,Tier 3,2023-02-25,Referral
186,Female,37.0,Tier 2,2024-01-10,Email
187,Female,15.0,Tier 1,2024-07-27,Ads
188,Female,32.0,Tier 1,2025-01-18,Organic
189,Female,39.0,Tier 2,2024-02-05,Email
190,Male,29.0,Tier 3,2023-08-27,Email
191,Male,24.0,Tier 1,2024-08-27,Ads
192,Female,43.0,Tier 2,2023-11-25,Organic
193,Female,33.0,Tier 2,2024-08-31,Referral
194,Female,30.0,Tier 3,2024-11-23,Ads
195,Male,35.0,Tier 3,2024-09-22,Email
196,Male,61.0,Tier 1,2023-11-30,Referral
197,Female,46.0,Tier 2,2023-11-04,Email
198,Female,46.0,Tier 2,2025-02-01,Ads
199,Female,39.0,Tier 2,2024-10-09,Organic
200,Female,36.0,Tier 3,2023-09-24,Referral
201,Female,11.0,Tier 3,2024-04-19,Ads
202,Male,28.0,Tier 1,2024-12-28,Ads
203,Male,30.0,Tier 1,2023-10-31,Referral
204,Female,16.0,Tier 2,2023-08-05,Organic
205,Female,23.0,Tier 1,2024-10-13,Email
206,Male,15.0,Tier 1,2023-05-19,Referral
207,Male,34.0,Tier 1,2024-11-03,Ads
208,Female,43.0,Tier 3,2023-03-03,Referral
209,Male,46.0,Tier 1,2023-03-09,Referral
210,Male,39.0,Tier 2,2024-02-21,Organic
211,Female,25.0,Tier 1,2025-01-10,Organic
212,Female,15.0,Tier 1,2024-10-30,Email
213,Female,17.0,Tier 1,2025-01-12,Referral
214,Male,22.0,Tier 1,2023-06-22,Organic
215,Female,26.0,Tier 3,2023-05-20,Organic
216,Male,33.0,Tier 3,2023-04-21,Ads
217,Male,24.0,Tier 2,2023-04-30,Organic
218,Female,38.0,Tier 1,2025-01-07,Referral
219,Female,32.0,Tier 2,2023-09-21,Referral
220,Female,,Tier 1,2024-08-14,Ads
221,Female,46.0,Tier 1,2024-07-16,Ads
222,Female,23.0,Tier 2,2024-11-02,Ads
223,Male,39.0,Tier 2,2024-03-22,Referral
224,Male,34.0,Tier 1,2025-01-08,Referral
225,Male,31.0,Tier 1,2023-04-25,Email
226,Male,43.0,Tier 3,2024-12-24,Organic
227,Other,,Tier 1,2024-04-29,Ads
228,Male,25.0,Tier 3,2024-10-02,Organic
229,Female,33.0,Tier 3,2024-10-10,Organic
230,Female,37.0,Tier 2,2023-07-10,Email
231,Female,32.0,Tier 1,2024-06-01,Referral
232,Female,40.0,Tier 2,2023-09-28,Organic
233,Female,37.0,Tier 1,2023-12-18,Ads
234,Female,53.0,Tier 1,2023-03-09,Ads
235,Male,19.0,Tier 2,2024-03-06,Referral
236,Female,33.0,Tier 1,2024-04-26,Referral
237,Male,25.0,Tier 1,2023-12-14,Referral
238,Male,41.0,Tier 2,2023-10-30,Ads
239,Female,18.0,Tier 2,2024-02-27,Referral
240,Male,38.0,Tier 1,2024-03-12,Email
241,Female,28.0,Tier 1,2023-07-24,Email
242,Female,27.0,Tier 1,2024-10-04,Ads
243,Female,,Tier 1,2024-04-02,Email
244,Male,30.0,Tier 2,2024-01-07,Organic
245,Male,45.0,Tier 2,2023-09-02,Referral
246,Female,34.0,Tier 2,2024-11-13,Email
247,Male,41.0,Tier 1,2024-09-22,Referral
248,Other,51.0,Tier 1,2024-08-08,Email
249,Other,37.0,Tier 1,2024-05-13,Referral
250,Female,,Tier 1,2023-02-20,Ads
251,Male,39.0,Tier 1,2023-11-23,Organic
252,Male,29.0,Tier 1,2024-04-21,Referral
253,Female,29.0,Tier 1,2024-03-28,Organic
254,Male,19.0,Tier 2,2023-02-06,Referral
255,Male,44.0,Tier 2,2023-03-24,Ads
256,Female,31.0,Tier 2,2023-06-20,Organic
257,Female,36.0,Tier 1,2024-12-19,Email
258,Female,24.0,Tier 3,2023-07-23,Organic
259,Female,39.0,Tier 3,2023-04-09,Referral
260,Male,27.0,Tier 1,2024-12-04,Organic
261,Female,33.0,Tier 2,2024-05-30,Ads
262,Other,43.0,Tier 3,2024-01-29,Organic
263,Male,,Tier 2,2024-07-04,Organic
264,Female,34.0,Tier 1,2024-03-28,Organic
265,Female,17.0,Tier 1,2023-04-26,Email
266,Female,64.0,Tier 2,2023-02-10,Organic
267,Female,52.0,Tier 1,2023-04-08,Referral
268,Female,42.0,Tier 3,2024-04-27,Referral
269,Male,27.0,Tier 2,2023-07-15,Organic
270,Male,33.0,Tier 1,2024-08-08,Organic
271,Female,29.0,Tier 2,2025-01-14,Email
272,Female,47.0,Tier 2,2024-08-11,Ads
273,Female,37.0,Tier 1,2023-12-18,Referral
274,Female,27.0,Tier 1,2023-05-28,Email
275,Female,30.0,Tier 3,2023-09-18,Referral
276,Female,46.0,Tier 2,2023-10-13,Referral
277,Female,51.0,Tier 1,2023-09-01,Organic
278,Female,50.0,Tier 1,2023-07-27,Referral
279,Female,42.0,Tier 2,2024-05-11,Ads
280,Female,32.0,Tier 2,2023-06-24,Ads
281,Female,2.0,Tier 1,2025-01-29,Ads
282,Male,37.0,Tier 2,2024-03-02,Email
283,Male,34.0,Tier 1,2023-08-31,Ads
284,Male,36.0,Tier 1,2024-08-12,Ads
285,Female,35.0,Tier 2,2023-03-08,Referral
286,Male,21.0,Tier 1,2023-07-24,Email
287,Male,40.0,Tier 3,2023-05-20,Organic
288,Female,41.0,Tier 1,2024-04-27,Email
289,Male,41.0,Tier 2,2023-06-01,Email
290,Female,44.0,Tier 1,2024-07-11,Organic
291,Male,41.0,Tier 1,2023-05-19,Organic
292,Male,30.0,Tier 2,2023-09-30,Organic
293,Female,34.0,Tier 1,2024-03-23,Referral
294,Male,35.0,Tier 2,2024-06-03,Referral
295,Male,36.0,Tier 2,2025-01-10,Referral
296,Female,44.0,Tier 2,2023-10-01,Ads
297,Female,41.0,Tier 2,2024-08-05,Organic
298,Male,55.0,Tier 2,2023-09-10,Referral
299,Female,57.0,Tier 2,2023-07-04,Referral
300,Male,35.0,Tier 2,2023-04-30,Email
301,Male,-3.0,Tier 3,2023-07-27,Referral
302,Female,47.0,Tier 1,2023-11-17,Organic
303,Female,29.0,Tier 2,2024-04-16,Organic
304,Female,26.0,Tier 1,2024-04-20,Ads
305,Female,31.0,Tier 1,2023-10-06,Ads
306,Other,30.0,Tier 1,2023-06-29,Email
307,Female,41.0,Tier 3,2023-11-28,Ads
308,Male,19.0,Tier 2,2024-12-26,Organic
309,Female,,Tier 2,2024-03-06,Ads
310,Male,,Tier 1,2025-02-03,Ads
311,Male,41.0,Tier 1,2024-10-16,Referral
312,Male,41.0,Tier 3,2023-02-12,Organic
313,Male,27.0,Tier 1,2023-06-30,Email
314,Other,25.0,Tier 1,2024-07-24,Ads
315,Female,29.0,Tier 1,2023-11-17,Ads
316,Female,37.0,Tier 2,2024-08-25,Email
317,Male,49.0,Tier 1,2024-01-08,Email
318,Male,14.0,Tier 1,2024-09-25,Organic
319,Male,32.0,Tier 2,2023-04-06,Email
320,Male,21.0,Tier 1,2023-06-21,Ads
321,Female,18.0,Tier 2,2023-07-13,Organic
322,Female,44.0,Tier 1,2023-05-26,Organic
323,Female,40.0,Tier 1,2023-07-29,Email
324,Male,39.0,Tier 2,2024-09-13,Organic
325,Female,44.0,Tier 3,2023-08-17,Ads
326,Female,30.0,Tier 2,2024-12-16,Ads
327,Female,30.0,Tier 2,2024-10-13,Ads
328,Female,56.0,Tier 1,2023-10-21,Organic
329,Male,32.0,Tier 1,2023-10-03,Email
330,Male,42.0,Tier 1,2025-01-02,Ads
331,Male,35.0,Tier 3,2025-01-19,Referral
332,Female,16.0,Tier 3,2024-06-17,Email
333,Male,14.0,Tier 3,2023-08-18,Organic
334,Male,29.0,Tier 1,2024-08-03,Ads
335,Male,45.0,Tier 2,2025-01-07,Organic
336,Male,42.0,Tier 2,2023-11-05,Ads
337,Female,44.0,Tier 2,2024-07-29,Organic
338,Female,25.0,Tier 2,2023-05-03,Referral
339,Male,51.0,Tier 2,2024-02-03,Organic
340,Male,25.0,Tier 1,2023-12-13,Organic
341,Female,37.0,Tier 1,2024-10-10,Organic
342,Male,34.0,Tier 1,2024-06-29,Ads
343,Male,33.0,Tier 1,2023-05-04,Email
344,Male,48.0,Tier 1,2023-03-13,Organic
345,Male,27.0,Tier 1,2024-08-15,Email
346,Female,21.0,Tier 1,2025-02-03,Ads
347,Female,35.0,Tier 2,2024-11-09,Organic
348,Male,31.0,Tier 3,2024-08-29,Ads
349,Male,68.0,Tier 3,2024-01-19,Email
350,Female,41.0,Tier 1,2024-12-16,Ads
351,Female,30.0,Tier 1,2023-10-19,Ads
352,Female,24.0,Tier 1,2024-07-20,Email
353,Female,16.0,Tier 3,2024-02-05,Ads
354,Male,24.0,Tier 2,2023-09-02,Email
355,Male,36.0,Tier 1,2023-07-29,Email
356,Female,49.0,Tier 3,2024-12-11,Organic
357,Male,46.0,Tier 1,2024-09-11,Organic
358,Female,37.0,Tier 3,2023-10-27,Ads
359,Female,31.0,Tier 1,2024-12-30,Ads
360,Female,37.0,Tier 1,2023-04-15,Ads
361,Male,29.0,Tier 2,2024-11-09,Referral
362,Female,,Tier 3,2024-07-04,Referral
363,Male,33.0,Tier 3,2024-06-14,Organic
364,Female,34.0,Tier 2,2023-07-13,Email
365,Female,12.0,Tier 1,2025-01-28,Referral
366,Male,33.0,Tier 1,2024-08-01,Referral
367,Other,43.0,Tier 3,2023-05-31,Email
368,Female,24.0,Tier 2,2024-05-26,Ads
369,Male,27.0,Tier 2,2023-12-09,Ads
370,Male,42.0,Tier 1,2023-03-16,Referral
371,Male,20.0,Tier 2,2024-10-27,Referral
372,Male,45.0,Tier 1,2024-05-31,Email
373,Male,29.0,Tier 2,2023-04-08,Email
374,Female,31.0,Tier 3,2024-05-10,Referral
375,Male,23.0,Tier 2,2024-03-10,Email
376,Male,38.0,Tier 1,2023-10-14,Ads
377,Female,59.0,Tier 1,2025-01-13,Organic
378,Male,42.0,Tier 1,2024-02-15,Referral
379,Female,26.0,Tier 3,2023-03-18,Organic
380,Male,46.0,Tier 1,2024-01-06,Email
381,Male,31.0,Tier 3,2025-02-01,Organic
382,Female,48.0,Tier 2,2024-02-15,Referral
383,Female,43.0,Tier 2,2024-12-12,Email
384,Female,5.0,Tier 3,2023-07-06,Organic
385,Female,24.0,Tier 2,2023-09-21,Ads
386,Female,44.0,Tier 3,2024-12-23,Referral
387,Male,36.0,Tier 1,2024-06-16,Referral
388,Male,24.0,Tier 2,2024-04-29,Referral
389,Female,28.0,Tier 2,2023-09-19,Referral
390,Female,15.0,Tier 1,2023-09-04,Email
391,Other,34.0,Tier 2,2023-07-27,Ads
392,Male,57.0,Tier 2,2024-11-13,Ads
393,Male,43.0,Tier 3,2024-09-05,Organic
394,Female,56.0,Tier 1,2024-06-13,Referral
395,Male,43.0,Tier 2,2023-02-25,Referral
396,Female,45.0,Tier 1,2023-10-05,Organic
397,Female,54.0,Tier 2,2023-03-15,Email
398,Male,38.0,Tier 1,2024-03-29,Ads
399,Female,33.0,Tier 2,2023-02-14,Referral
400,Female,45.0,Tier 1,2023-12-27,Organic
401,Male,49.0,Tier 1,2023-03-31,Ads
402,Female,30.0,Tier 1,2024-09-26,Organic
403,Female,27.0,Tier 1,2023-05-30,Organic
404,Female,36.0,Tier 2,2024-12-08,Email
405,Male,43.0,Tier 3,2024-01-15,Ads
406,Female,42.0,Tier 1,2024-08-12,Referral
407,Male,20.0,Tier 1,2024-01-17,Ads
408,Male,54.0,Tier 1,2023-02-13,Email
409,Female,28.0,Tier 2,2023-09-04,Referral
410,Male,32.0,Tier 1,2023-03-02,Ads
411,Male,25.0,Tier 1,2024-04-13,Email
412,Female,61.0,Tier 1,2023-06-26,Referral
413,Female,37.0,Tier 1,2024-12-14,Referral
414,Female,26.0,Tier 1,2024-06-01,Organic
415,Female,43.0,Tier 1,2023-12-27,Organic
416,Male,42.0,Tier 2,2025-02-02,Email
417,Male,33.0,Tier 2,2024-06-04,Referral
418,Male,43.0,Tier 1,2023-07-15,Ads
419,Female,26.0,Tier 2,2023-03-11,Referral
420,Female,30.0,Tier 1,2023-08-10,Email
421,Female,14.0,Tier 3,2024-07-18,Ads
422,Female,21.0,Tier 1,2024-08-28,Referral
423,Male,53.0,Tier 2,2024-05-16,Ads
424,Female,51.0,Tier 2,2023-05-04,Organic
425,Male,35.0,Tier 1,2024-12-20,Ads
426,Female,51.0,Tier 3,2023-07-10,Organic
427,Male,33.0,Tier 1,2024-06-28,Ads
428,Female,32.0,Tier 2,2023-05-07,Organic
429,Male,35.0,Tier 1,2024-11-12,Email
430,Male,33.0,Tier 1,2023-08-20,Ads
431,Male,32.0,Tier 2,2023-11-13,Referral
432,Female,46.0,Tier 1,2023-11-08,Email
433,Female,36.0,Tier 1,2024-11-12,Email
434,Male,42.0,Tier 1,2024-04-25,Ads
435,Male,45.0,Tier 2,2023-08-16,Email
436,Female,38.0,Tier 1,2024-11-08,Organic
437,Male,25.0,Tier 1,2023-07-23,Organic
438,Female,21.0,Tier 2,2024-10-21,Ads
439,Female,36.0,Tier 1,2024-02-13,Email
440,Male,33.0,Tier 1,2023-12-14,Referral
441,Male,,Tier 1,2023-08-21,Ads
442,Other,34.0,Tier 1,2023-07-31,Ads
443,Male,,Tier 1,2024-12-27,Email
444,Male,21.0,Tier 3,2024-06-13,Organic
445,Female,15.0,Tier 1,2024-06-02,Email
446,Female,38.0,Tier 1,2024-03-23,Referral
447,Other,31.0,Tier 1,2023-04-28,Referral
448,Female,38.0,Tier 1,2024-07-11,Referral
449,Male,40.0,Tier 2,2023-07-24,Referral
450,Male,47.0,Tier 1,2023-10-04,Ads
451,Female,19.0,Tier 1,2024-02-25,Referral
452,Female,29.0,Tier 1,2023-03-10,Referral
453,Male,39.0,Tier 3,2023-12-29,Referral
454,Female,,Tier 1,2024-09-17,Email
455,Male,56.0,Tier 1,2023-11-22,Organic
456,Female,,Tier 2,2024-06-28,Organic
457,Male,34.0,Tier 1,2024-01-01,Organic
458,Male,26.0,Tier 2,2024-05-02,Referral
459,Male,29.0,Tier 2,2024-09-04,Email
460,Male,29.0,Tier 1,2024-09-20,Ads
461,Male,41.0,Tier 2,2023-12-24,Email
462,Female,37.0,Tier 3,2024-09-12,Ads
463,Female,21.0,Tier 2,2023-07-02,Email
464,Female,30.0,Tier 3,2024-06-15,Organic
465,Other,43.0,Tier 1,2024-06-11,Organic
466,Male,38.0,Tier 1,2024-04-11,Referral
467,Male,40.0,Tier 3,2023-09-26,Organic
468,Female,38.0,Tier 1,2025-01-03,Organic
469,Male,51.0,Tier 3,2024-02-29,Organic
470,Other,37.0,Tier 1,2023-02-11,Email
471,Male,31.0,Tier 3,2024-11-02,Organic
472,Other,25.0,Tier 1,2024-08-26,Ads
473,Male,37.0,Tier 1,2024-09-30,Referral
474,Female,10.0,Tier 3,2023-02-19,Email
475,Female,33.0,Tier 1,2024-03-10,Ads
476,Other,32.0,Tier 1,2024-01-30,Email
477,Male,21.0,Tier 1,2024-08-08,Organic
478,Female,25.0,Tier 2,2023-05-19,Email
479,Other,43.0,Tier 3,2023-04-06,Email
480,Female,37.0,Tier 1,2024-12-31,Referral
481,Female,36.0,Tier 1,2024-07-09,Email
482,Female,38.0,Tier 1,2024-01-31,Email
483,Male,35.0,Tier 2,2024-01-03,Referral
484,Female,47.0,Tier 1,2024-11-12,Email
485,Female,36.0,Tier 1,2023-09-09,Email
486,Female,20.0,Tier 1,2024-04-17,Ads
487,Male,51.0,Tier 2,2023-10-23,Ads
488,Male,38.0,Tier 3,2023-11-19,Email
489,Female,29.0,Tier 2,2024-11-03,Email
490,Female,22.0,Tier 1,2023-03-26,Organic
491,Male,38.0,Tier 2,2024-08-18,Ads
492,Female,,Tier 2,2023-04-28,Organic
493,Male,50.0,Tier 1,2024-12-15,Email
494,Male,31.0,Tier 1,2023-03-05,Organic
495,Male,26.0,Tier 1,2024-05-08,Organic
496,Male,43.0,Tier 2,2023-11-18,Referral
497,Female,44.0,Tier 2,2023-05-12,Referral
498,Male,36.0,Tier 2,2024-02-26,Email
499,Other,41.0,Tier 1,2023-10-12,Ads
500,Other,34.0,Tier 1,2024-08-18,Email
501,Female,37.0,Tier 3,2023-12-12,Ads
502,Female,46.0,Tier 1,2024-05-19,Referral
503,Male,41.0,Tier 3,2024-11-19,Ads
504,Female,33.0,Tier 2,2024-07-12,Organic
505,Female,48.0,Tier 1,2023-06-20,Organic
506,Male,11.0,Tier 1,2024-11-04,Referral
507,Female,55.0,Tier 3,2024-11-30,Email
508,Female,17.0,Tier 1,2023-05-06,Ads
509,Female,28.0,Tier 3,2024-03-11,Email
510,Female,,Tier 1,2024-01-14,Ads
511,Female,33.0,Tier 2,2025-01-21,Referral
512,Male,45.0,Tier 3,2024-07-17,Organic
513,Female,24.0,Tier 3,2023-08-12,Organic
514,Female,37.0,Tier 1,2024-04-16,Ads
515,Male,29.0,Tier 2,2024-04-06,Email
516,Male,37.0,Tier 1,2024-03-12,Referral
517,Male,34.0,Tier 1,2024-03-17,Referral
518,Female,,Tier 1,2023-07-28,Email
519,Other,29.0,Tier 1,2023-09-26,Organic
520,Male,29.0,Tier 1,2024-08-27,Email
521,Female,37.0,Tier 1,2024-09-07,Organic
522,Male,44.0,Tier 3,2023-06-19,Ads
523,Other,29.0,Tier 2,2023-06-09,Referral
524,Female,26.0,Tier 1,2023-04-25,Ads
525,Female,41.0,Tier 3,2023-09-23,Email
526,Male,34.0,Tier 1,2024-07-04,Email
527,Male,43.0,Tier 1,2023-08-25,Ads
528,Male,25.0,Tier 2,2024-06-18,Email
529,Male,17.0,Tier 1,2024-12-20,Email
530,Female,29.0,Tier 2,2024-12-13,Email
531,Female,27.0,Tier 1,2023-07-17,Referral
532,Other,34.0,Tier 1,2023-12-10,Referral
533,Other,28.0,Tier 1,2023-08-05,Organic
534,Female,42.0,Tier 3,2024-06-27,Referral
535,Female,32.0,Tier 2,2024-12-15,Ads
536,Female,36.0,Tier 2,2024-09-24,Ads
537,Female,36.0,Tier 2,2024-05-13,Referral
538,Male,,Tier 1,2024-06-19,Ads
539,Male,34.0,Tier 2,2024-12-15,Email
540,Male,40.0,Tier 1,2024-06-07,Referral
541,Female,27.0,Tier 1,2023-06-25,Organic
542,Female,48.0,Tier 2,2024-05-27,Organic
543,Male,32.0,Tier 1,2023-08-23,Referral
544,Female,21.0,Tier 1,2024-05-22,Ads
